ID,Type,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols
113,B,12.16,1.61,2.31,22.8,90,1.78
114,B,12.43,1.53,2.29,21.5,86,2.74
115,B,11.03,1.51,2.2,21.5,85,2.46
116,B,,4.52,,,,
117,B,13.11,1.01,1.7,15,78,2.98
118,B,12.99,1.67,2.6,30,139,3.3
119,B,12.67,0.98,,18,99,2.2
120,B,12.08,1.39,2.5,22.5,84,2.56
121,B,13.34,0.94,2.36,17,110,2.53
122,B,13.03,0.9,1.71,16,86,1.95
123,B,12.52,2.43,,21,88,2.55
124,B,11.56,2.05,3.23,28.5,119,3.18
125,B,12.37,1.21,2.56,18.1,98,2.42
126,B,12.04,4.3,2.38,22,80,2.1
127,B,12.29,2.83,2.22,18,88,2.45
128,B,12.47,1.52,2.2,19,162,2.5
129,B,11.41,0.74,2.5,21,88,2.48
130,B,12.17,1.45,2.53,19,104,1.89
131,B,12.08,1.83,2.32,18.5,81,1.6
132,B,12.6,1.34,1.9,18.5,88,1.45
133,B,12.25,1.73,2.12,19,80,1.65
134,B,12.7,3.87,2.4,23,101,2.83
135,B,12.42,4.43,2.73,26.5,102,2.2
136,B,12.22,1.29,1.94,19,92,2.36
137,B,11.84,2.89,2.23,18,112,1.72
138,B,12.21,1.19,1.75,16.8,151,1.85
139,B,12.42,1.61,2.19,22.5,108,2
140,B,12.64,1.36,2.02,16.8,100,2.02
141,B,11.79,2.13,2.78,28.5,92,2.13
142,B,11.84,0.89,2.58,18,,2.2
143,B,11.81,2.12,2.74,21.5,134,1.6
144,B,11.62,1.99,2.28,18,98,3.02
145,B,12.72,1.81,2.2,18.8,86,2.2
146,C,14.34,1.68,2.7,25,98,2.8
147,C,,,3.32,,,
148,C,12.79,2.67,2.48,22,112,1.48
149,C,,4.86,3.12,,,
150,C,13.45,3.7,2.6,23,111,1.7
151,C,12.81,2.31,2.4,24,98,1.15
152,C,14.13,4.1,2.74,24.5,96,2.05
153,C,13.11,1.9,2.75,25.5,116,2.2
154,C,13.4,3.91,2.48,23,102,1.8
155,C,13.08,3.9,2.36,21.5,113,1.41
156,C,13.17,2.59,2.37,20,120,1.65
157,C,12.84,2.96,2.61,24,101,2.32
158,C,12.88,2.99,2.4,20,104,1.3
159,C,13.84,4.12,2.38,19.5,89,1.8
160,C,13.62,4.95,2.35,20,92,2
161,C,13.78,2.76,2.3,22,90,1.35
162,C,,,2.89,,,2.05
163,C,13.27,4.28,2.26,20,120,1.59
164,C,13.16,3.57,2.15,21,102,1.5
165,C,14.86,,,,,
166,C,12.22,,,14.8,,
167,C,12.51,1.24,2.25,17.5,85,2
168,C,13.49,3.59,2.19,19.5,88,1.62
169,C,12.2,3.03,2.32,19,96,1.25
170,C,12.25,3.88,2.2,18.5,112,1.38
171,C,12.86,1.35,2.32,18,122,1.51
172,C,13.52,3.17,2.72,23.5,97,1.55
173,C,12.36,3.83,2.38,21,88,2.3
174,C,13.71,5.65,2.45,20.5,95,1.68
175,C,13.69,3.26,2.54,20,107,1.83
176,C,13.88,5.04,2.23,20,80,0.98
177,C,13.48,1.67,2.64,22.5,89,2.6
178,C,13.4,,,,,
179,C,12.53,5.51,2.64,25,96,1.79
180,C,12.82,3.37,2.3,19.5,88,1.48
181,C,13.23,3.3,2.28,18.5,98,1.8
182,C,12.25,4.72,2.54,21,,1.38
183,C,13.36,2.56,2.35,20,89,1.4
184,C,12.6,2.46,2.2,18.5,94,1.62
185,C,14.16,2.51,2.48,20,91,1.68
186,C,13.73,4.36,2.26,22.5,88,1.28
187,C,12.96,3.45,2.35,18.5,106,1.39
188,C,13.5,3.12,2.62,24,123,1.4
189,C,12.85,3.27,2.58,22,106,1.65
190,C,13.32,3.24,2.38,21.5,92,1.93
191,C,12.93,2.81,2.7,21,96,1.54
192,C,12.7,3.55,2.36,21.5,106,1.7
193,C,12.77,2.39,2.28,19.5,86,1.39
194,C,13.4,4.6,,25,112,1.98
195,C,13.17,5.19,2.32,22,93,1.74
196,C,12.58,1.29,2.1,20,103,1.48
197,C,,,2.08,,,
198,C,12.87,4.61,2.48,21.5,86,1.7
199,C,12.45,3.03,2.64,27,97,1.9
200,C,13.58,2.58,2.69,24.5,105,1.55
